1. iPhone 15 Pro Max - RAM: 12GB, Bộ nhớ: 256GB, Bảo hành: 12 tháng kể từ ngày kích hoạt. Giá: 29.990.000đ.
2. Samsung Galaxy S24 Ultra - RAM: 16GB, Bộ nhớ: 512GB, Bảo hành: 24 tháng chính hãng. Giá: 28.500.000đ.
3. Google Pixel 8 Pro - RAM: 12GB, Bộ nhớ: 128GB, Bảo hành: 18 tháng lỗi 1 đổi 1. Giá: 19.200.000đ.
4. Xiaomi 14 Pro - RAM: 16GB, Bộ nhớ: 1TB, Bảo hành: 12 tháng tại hệ thống Mistore. Giá: 17.800.000đ.
5. Sony Xperia 1 V - RAM: 12GB, Bộ nhớ: 256GB, Bảo hành: 36 tháng bảo hành mở rộng. Giá: 22.400.000đ.
6. Oppo Find X7 Ultra - RAM: 16GB, Bộ nhớ: 512GB, Bảo hành: 12 tháng phần cứng. Giá: 18.900.000đ.
7. ASUS ROG Phone 8 - RAM: 24GB, Bộ nhớ: 1TB, Bảo hành: 15 tháng cho game thủ. Giá: 25.600.000đ.
8. Vivo X100 Pro - RAM: 16GB, Bộ nhớ: 512GB, Bảo hành: 18 tháng toàn quốc. Giá: 16.500.000đ.
9. Huawei Mate 60 Pro - RAM: 12GB, Bộ nhớ: 512GB, Bảo hành: 12 tháng nội địa. Giá: 21.000.000đ.
10. OnePlus 12 - RAM: 16GB, Bộ nhớ: 256GB, Bảo hành: 24 tháng theo tiêu chuẩn hãng. Giá: 15.800.000đ.
11. iPhone 14 Plus - RAM: 6GB, Bộ nhớ: 128GB, Bảo hành: 12 tháng Apple VN. Giá: 18.200.000đ.
12. Samsung Galaxy Z Fold5 - RAM: 12GB, Bộ nhớ: 512GB, Bảo hành: 24 tháng Samsung Care+. Giá: 32.000.000đ.
13. Motorola Edge 40 Pro - RAM: 12GB, Bộ nhớ: 256GB, Bảo hành: 12 tháng quốc tế. Giá: 14.500.000đ.
14. Nothing Phone (2) - RAM: 12GB, Bộ nhớ: 256GB, Bảo hành: 12 tháng chính hãng. Giá: 13.200.000đ.
15. Realme GT5 Pro - RAM: 16GB, Bộ nhớ: 1TB, Bảo hành: 12 tháng xách tay. Giá: 12.800.000đ.
16. Nubia RedMagic 9 Pro - RAM: 16GB, Bộ nhớ: 512GB, Bảo hành: 12 tháng gaming store. Giá: 15.500.000đ.
17. Honor Magic6 Pro - RAM: 12GB, Bộ nhớ: 512GB, Bảo hành: 24 tháng nội địa. Giá: 19.500.000đ.
18. iPhone 13 Mini - RAM: 4GB, Bộ nhớ: 128GB, Bảo hành: 12 tháng (Hàng hiếm). Giá: 11.500.000đ.
19. Samsung Galaxy A54 - RAM: 8GB, Bộ nhớ: 128GB, Bảo hành: 12 tháng chính hãng. Giá: 7.800.000đ.
20. Poco F5 Pro - RAM: 12GB, Bộ nhớ: 256GB, Bảo hành: 18 tháng Digiworld. Giá: 9.500.000đ.
